A�O;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2024;4;205794;13001;13;ACTIVO;HOTEL ANTIGUO NEW PALENQUE;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE ALOJAMIENTO TURISTICO;HOTEL;8;8;2
2024;4;205795;13001;13;ACTIVO;KARINA ANDREA PEINADO ROJAS;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;5;0
2024;4;205801;13001;13;ACTIVO;EDUARDO HENRIQUE LONDOÑO ZUREK;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;6;0
2024;4;205807;13001;13;ACTIVO;WILLIAM  HARKER CHAHIN;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;5;0
2024;4;205815;13001;13;ACTIVO;HELWE MOHAMAD KHARFAN;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;1;0
2024;4;205852;13001;13;ACTIVO;DERLY ESTELLA PERNETT YANEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;4;2;0
2024;4;205859;13001;13;ACTIVO;TRANS INDIA CARTAGENA S.A.S;BOLIVAR;CARTAGENA;ARRENDADORES DE VEHICULOS PARA TURISMO NACIONAL E INTERNACIONAL;ARRENDADOR DE VEHICULOS PARA TURISMO NACIONAL E INTERNACIONAL;0;0;25
2024;4;205866;13001;13;ACTIVO;TOUR PARADISIACO DEL CARIBE SAS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;4;205872;13001;13;ACTIVO;CASA MATUNA CARTAGENA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;OTRO TIPO DE VIVIENDA TURISTICA;4;15;3
2024;4;205875;13001;13;ACTIVO;JOAQUIN  AFANADOR SANDOVAL;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;4;0
2024;4;205886;13001;13;ACTIVO;YURIS ISABEL BLOON IRIARTE;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;205887;13001;13;ACTIVO;JUAN DIEGO BECERRA RIQUETT;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;3;8;0
2024;4;205888;13001;13;ACTIVO;ELITH VICTORIA HERRERA RAMOS;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;8;0
2024;4;205889;13001;13;ACTIVO;JUAN DIEGO CORONADO PERILLA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;205894;13001;13;ACTIVO;TOBAR GUACHETA MILEIDY;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;205906;13001;13;ACTIVO;HARRY ALBERTO BEDOYA DIAZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;205920;13001;13;ACTIVO;CATHERINE  RICAURTE LOPEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;3;8;0
2024;4;205922;13001;13;ACTIVO;JOSE GABRIEL MIER IÑIGUEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;205976;13001;13;ACTIVO;ALIOSKAR  GANEM OSORIO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;205981;13001;13;ACTIVO;NATALIA  LIEVANO ESCRUCERIA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;205999;13001;13;ACTIVO;MARIA ISABEL PASCUAL HIDALGOGATO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206011;13001;13;ACTIVO;ALEXANDER RAFAEL OSPINO TESILLO;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;8;0
2024;4;206037;13001;13;ACTIVO;DIEGO  NAKAMURA CHACON;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206047;13001;13;ACTIVO;LUXURIES HOMES;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;4;206048;13001;13;ACTIVO;PAISA NAUTICO;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;4;206049;13001;13;ACTIVO;VILLAMIL ALVIAR EDDIE;BOLIVAR;CARTAGENA;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;4;206050;13001;13;ACTIVO;AGENCIA CARIBBEAN ADVENTURES TOURS SAS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;1
2024;4;206083;13001;13;ACTIVO;INVERSIONES ALFRAN SAS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;4;206089;13001;13;ACTIVO;HOTEL PALMERAS DE PUNTA TRITON;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);11;46;0
2024;4;206103;13001;13;ACTIVO;AGENCIA KAHU;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;4;206120;13001;13;ACTIVO;DELCY DEL CARMEN ARIAS MIRANDA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206121;13001;13;ACTIVO;ROMERO GONZALEZ LEIDI DIANA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
2024;4;206135;13001;13;ACTIVO;MARTHA LUZ CANO CHARRIS;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;OTRO TIPO DE VIVIENDA TURISTICA;1;3;0
2024;4;206143;13001;13;ACTIVO;GUSTAVO  ADOLFO BABILONIA  ELLES;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;2;5;0
